feature_set,model,accuracy,precision,recall,f1,roc_auc
grid_only,Logistic Regression,0.8927860896408241,0.6635986122708941,0.4544831880448319,0.5385207273699519,0.8997944658482375
grid_only,Elastic Net Logistic Regression,0.8927860896408241,0.6635986122708941,0.4544831880448319,0.5385207273699519,0.8997944658482375
grid_only,LDA,0.8828209769234748,0.7176738260866077,0.2522872561228725,0.3723257398428005,0.8997944658482375
grid_only,QDA,0.8927860896408241,0.6635986122708941,0.4544831880448319,0.5385207273699519,0.8997944658482375
grid_only,KNN,0.8849675194227089,0.6322387833196358,0.41370693233706934,0.48707540732442123,0.8806763725220271
grid_only,Decision Tree,0.8924076203054326,0.6463040481201947,0.506434205064342,0.5595542359886799,0.9011232174732747
grid_only,Random Forest,0.8210124074611844,0.42697716946663206,0.8533333333333333,0.5691251214902806,0.9001185099556507
grid_only,Gradient Boosting,0.8924076203054326,0.6463040481201947,0.506434205064342,0.5595542359886799,0.9007891268528766
grid_and_qualifying,Logistic Regression,0.8951830090579639,0.6845170548331954,0.4490161892901618,0.5412495725032377,0.9050665543499334
grid_and_qualifying,Elastic Net Logistic Regression,0.8951830090579639,0.6845170548331954,0.4490161892901618,0.5412495725032377,0.9051273849832284
grid_and_qualifying,LDA,0.8850917133753148,0.7534445740577553,0.2522872561228725,0.3769269513271397,0.9049265367730941
grid_and_qualifying,QDA,0.8948041419200337,0.6229998524881533,0.6074802822748028,0.6148447427793317,0.9042673110900011
grid_and_qualifying,KNN,0.8919042409728659,0.6697706836636687,0.4117476131174761,0.5010175050564774,0.884509914929799
grid_and_qualifying,Decision Tree,0.8926599066755244,0.6491348754507913,0.5000581154005811,0.5572520070671181,0.9016406979804261
grid_and_qualifying,Random Forest,0.8284544973566021,0.4385363451393086,0.8469655458696554,0.5777896797833855,0.8988519792481464
grid_and_qualifying,Gradient Boosting,0.8929121930456161,0.6426233766233767,0.5318638439186383,0.5765823057818796,0.9026694520973388
race_context,Logistic Regression,0.8950567465321564,0.6828465705554547,0.44992528019925276,0.5413684170751607,0.9042678687231327
race_context,Elastic Net Logistic Regression,0.8950567465321564,0.6828465705554547,0.44992528019925276,0.5413684170751607,0.9042692878766607
race_context,LDA,0.8854704213922293,0.7223278392076345,0.2814279784142798,0.40339236572105736,0.9046794840237347
race_context,QDA,0.8922810395375942,0.6122907490637745,0.6038397675383976,0.6078925062397339,0.9036369957218751
race_context,KNN,0.8901379977007015,0.6452193175264945,0.45813615608136155,0.5353724002830574,0.8793767834383873
race_context,Decision Tree,0.8911455519709127,0.6394681152890843,0.5063428808634288,0.5601634598184541,0.8935467381652625
race_context,Random Forest,0.8790384317032711,0.5819991957387634,0.45361145703611455,0.5092589884331127,0.8754624677955472
race_context,Gradient Boosting,0.890389568026223,0.6328280995368946,0.4963968451639684,0.555094239193409,0.9024332997841793
driver_constructor_circuit,Logistic Regression,0.8942994896193428,0.675945720945721,0.4535574927355749,0.5420651940608214,0.906359849928313
driver_constructor_circuit,Elastic Net Logistic Regression,0.8942995691798504,0.6763758721898256,0.452648401826484,0.5415013473321671,0.9063478433424683
driver_constructor_circuit,LDA,0.8887491099168194,0.6958167460984954,0.3488252386882524,0.4634920017230221,0.9021505949808765
driver_constructor_circuit,QDA,0.8664240336381827,0.5140037410386662,0.7240307181403072,0.600644695608597,0.8931707004662238
driver_constructor_circuit,KNN,0.8886238816776129,0.6225101846538156,0.5000041511000416,0.5538813867084812,0.8817768090864723
driver_constructor_circuit,Decision Tree,0.8921545383302638,0.631711110754287,0.5363926940639269,0.5786061696464133,0.8944622699649376
driver_constructor_circuit,Random Forest,0.8787843154415012,0.5727187350293943,0.48907430469074303,0.5274696654510347,0.8893843061676352
